
2024/08/03 (01:47:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:53:54) | ===> btop++ v.1.3.2
2024/08/03 (01:53:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:55:04) | ===> btop++ v.1.3.2
2024/08/03 (01:55:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:55:54) | ===> btop++ v.1.3.2
2024/08/03 (01:55:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (01:56:12) | ===> btop++ v.1.3.2
2024/08/03 (01:56:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (21:02:17) | ===> btop++ v.1.3.2
2024/08/03 (21:02:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (21:12:10) | ===> btop++ v.1.3.2
2024/08/03 (21:12:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (21:49:39) | ===> btop++ v.1.3.2
2024/08/03 (21:49:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (22:26:51) | ===> btop++ v.1.3.2
2024/08/03 (22:26:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (22:45:12) | ===> btop++ v.1.3.2
2024/08/03 (22:45:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/03 (22:59:36) | ===> btop++ v.1.3.2
2024/08/03 (22:59:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (05:26:00) | ===> btop++ v.1.3.2
2024/08/04 (05:26:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (05:30:33) | ===> btop++ v.1.3.2
2024/08/04 (05:30:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (13:10:51) | ===> btop++ v.1.3.2
2024/08/04 (13:10:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (14:12:32) | ===> btop++ v.1.3.2
2024/08/04 (14:12:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (14:33:23) | ===> btop++ v.1.3.2
2024/08/04 (14:33:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (14:51:33) | ===> btop++ v.1.3.2
2024/08/04 (14:51:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (14:57:41) | ===> btop++ v.1.3.2
2024/08/04 (14:57:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (21:49:26) | ===> btop++ v.1.3.2
2024/08/04 (21:49:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/04 (21:51:19) | ===> btop++ v.1.3.2
2024/08/04 (21:51:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (00:18:09) | ===> btop++ v.1.3.2
2024/08/05 (00:18:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (01:13:12) | ===> btop++ v.1.3.2
2024/08/05 (01:13:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (01:28:18) | ===> btop++ v.1.3.2
2024/08/05 (01:28:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (01:28:21) | ===> btop++ v.1.3.2
2024/08/05 (01:28:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (14:19:46) | ===> btop++ v.1.3.2
2024/08/05 (14:19:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (14:20:08) | ===> btop++ v.1.3.2
2024/08/05 (14:20:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (14:22:39) | ===> btop++ v.1.3.2
2024/08/05 (14:22:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (14:37:32) | ===> btop++ v.1.3.2
2024/08/05 (14:37:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:06:23) | ===> btop++ v.1.3.2
2024/08/05 (16:06:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:35:13) | ===> btop++ v.1.3.2
2024/08/05 (16:35:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:46:26) | ===> btop++ v.1.3.2
2024/08/05 (16:46:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:47:52) | ===> btop++ v.1.3.2
2024/08/05 (16:47:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:49:13) | ===> btop++ v.1.3.2
2024/08/05 (16:49:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:53:55) | ===> btop++ v.1.3.2
2024/08/05 (16:53:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:55:06) | ===> btop++ v.1.3.2
2024/08/05 (16:55:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:56:48) | ===> btop++ v.1.3.2
2024/08/05 (16:56:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (16:58:24) | ===> btop++ v.1.3.2
2024/08/05 (16:58:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (17:00:03) | ===> btop++ v.1.3.2
2024/08/05 (17:00:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (17:00:32) | ===> btop++ v.1.3.2
2024/08/05 (17:00:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (17:03:03) | ===> btop++ v.1.3.2
2024/08/05 (17:03:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (17:03:39) | ===> btop++ v.1.3.2
2024/08/05 (17:03:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (18:02:02) | ===> btop++ v.1.3.2
2024/08/05 (18:02:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:36:56) | ===> btop++ v.1.3.2
2024/08/05 (20:36:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/05 (20:37:12) | ===> btop++ v.1.3.2
